	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
742	Muguboka Restaurant	401 Balboa St,San Francisco,CA,94118	Korean,Salad,Seafood	$11-30	4.0	767	11:00 am - 9:30 pm	Closed	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	5:00 pm - 9:30 pm	No	No	No	Street, Private Lot	NULL	Yes	No	NULL	Yes
743	Rooster & Rice	303 2nd St,San Francisco,CA,94107	Thai	$11-30	4.0	367	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	Closed	Closed	Yes	No	No	Street	Yes	Yes	Yes	No	Yes
744	Ippudo San Francisco	18 Yerba Buena Ln,San Francisco,CA,94103	Ramen,Noodles,Soup	$11-30	3.5	973	11:00 am - 2:00 pm,5:00 pm - 9:30 pm	11:00 am - 2:00 pm,5:00 pm - 9:30 pm	11:00 am - 2:00 pm,5:00 pm - 9:30 pm	11:00 am - 2:00 pm,5:00 pm - 9:30 pm	11:00 am - 2:00 pm,5:00 pm - 9:30 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	No	No	Garage, Street	Yes	Yes	No	No	No
745	CatHead's BBQ	1665 Folsom St,San Francisco,CA,94103	Barbeque,Desserts,Sandwiches	$11-30	4.0	922	Closed	Closed	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	Yes	No	No	Street, Private Lot	NULL	Yes	No	No	Yes
746	Orexi	243 W Portal Ave,San Francisco,CA,94127	Greek,Mediterranean,Desserts	$11-30	4.0	361	Closed	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 9:00 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
747	Hillside Supper Club	300 Precita Ave,San Francisco,CA,94110	American (New),Breakfast & Brunch,Italian	$11-30	4.0	392	6:00 pm - 10:00 pm	Closed	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 11:00 pm	10:00 am - 2:00 pm,6:00 pm - 11:00 pm	10:00 am - 2:00 pm,5:00 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
748	Tacko	3115 Fillmore St,San Francisco,CA,94123	Mexican	$11-30	4.0	779	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 10:00 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
749	Stonemill Matcha	561 Valencia St,San Francisco,CA,94110	Cafes	$11-30	4.0	841	10:00 am - 5:00 pm	10:00 am - 5:00 pm	10:00 am - 5:00 pm	10:00 am - 5:00 pm	9:00 am - 5:00 pm	9:00 am - 6:00 pm	9:00 am - 6:00 pm	No	No	No	Street	Yes	Yes	Yes	Yes	Yes
750	Fiorella -Clement	2339 Clement St,San Francisco,CA,94121	Italian,Pizza,Wine Bars	$11-30	4.0	445	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	10:30 am - 2:30 pm,5:00 pm - 11:00 pm	10:30 am - 2:30 pm,5:00 pm - 10:00 pm	Yes	No	Yes	Street	NULL	Yes	No	No	Yes
751	The Progress	1525 Fillmore St,San Francisco,CA,94115	American (New),Bars	Above $61	4.0	889	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 10:00 pm	No	No	Yes	Street	NULL	Yes	No	No	No
752	Nico	710 Montgomery St,San Francisco,CA,94111	American (New),French	$31-60	4.0	290	Closed	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	Closed	No	No	Yes	Street	NULL	Yes	NULL	NULL	No
753	b&b - Banh Mi & Boba	1634 Irving St,San Francisco,CA,94122	Bubble Tea,Sandwiches	Under $10	4.5	182	Closed	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	No	Free	No	Street	NULL	Yes	Yes	Yes	Yes
754	Izakaya Yoki	900 Bush St,Ste C101,San Francisco,CA,94109	Izakaya,Sushi Bars	$11-30	4.5	197	5:00 pm - 11:30 pm	5:00 pm - 11:30 pm	5:00 pm - 11:30 pm	5:00 pm - 11:30 pm	5:00 pm - 12:00 am	5:00 pm - 12:30 am	5:00 pm - 11:30 pm	No	No	Yes	Garage, Street	NULL	Yes	No	NULL	Yes
755	Bubba Gump Shrimp Co.	39 Piers Box M-211,San Francisco,CA,94133	Seafood,Southern	$11-30	3.0	1922	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 9:00 pm	No	Free	Yes	Garage, Street, Private Lot, Validated	NULL	Yes	No	No	Yes
756	Maykadeh	470 Green St,San Francisco,CA,94133	Middle Eastern,Persian/Iranian	$11-30	4.0	859	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 10:00 pm	Yes	No	Yes	Street, Private Lot	NULL	Yes	NULL	NULL	Yes
757	Espetus Brazilian Steak House	1686 Market St,San Francisco,CA,94102	Steakhouses,Latin American,Brazilian	$31-60	4.0	3429	11:30 am - 2:30 pm,5:00 pm - 8:00 pm	11:30 am - 2:30 pm,5:00 pm - 8:00 pm	11:30 am - 2:30 pm,5:00 pm - 8:00 pm	11:30 am - 2:30 pm,5:00 pm - 8:00 pm	11:30 am - 2:30 pm,5:00 pm - 8:00 pm	12:00 pm - 3:00 pm,5:00 pm - 8:30 pm	12:00 pm - 8:30 pm	No	Free	Yes	Street	NULL	Yes	No	No	No
758	Foreign Cinema	2534 Mission St,San Francisco,CA,94110	Breakfast & Brunch,Mediterranean,Cocktail Bars	$31-60	4.0	4829	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	11:00 am - 2:30 pm,5:30 pm - 11:00 pm	11:00 am - 2:30 pm,5:30 pm - 10:00 pm	No	Free	Yes	Valet, Street	NULL	Yes	No	No	No
759	Manzoni	2788 Diamond St,San Francisco,CA,94131	Italian	$11-30	4.0	228	Closed	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	No	Free	Yes	Street	NULL	Yes	No	No	Yes
760	King Of Thai Noodle House	184 O'Farrell St,San Francisco,CA,94102	Thai,Noodles	$11-30	3.5	1872	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 3:00 am	11:00 am - 3:00 am	11:00 am - 1:00 am	Yes	No	No	Garage, Street, Private Lot	Yes	Yes	No	No	Yes
761	Palmyra	700 Haight St,San Francisco,CA,94117	Mediterranean,Middle Eastern,Syrian	Under $10	4.0	864	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	12:00 pm - 10:00 pm	Yes	Free	No	Street	NULL	Yes	No	No	Yes
762	Betty Lou's Seafood & Grill	318 Columbus Ave,San Francisco,CA,94133	Seafood,Steakhouses,Bars	$11-30	4.5	741	4:00 pm - 9:30 pm	4:00 pm - 9:30 pm	4:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	No	No	Yes	Garage, Street	NULL	Yes	No	No	Yes
763	Ichido	50 Apparel Way,San Francisco,CA,94124	Seafood,Japanese,Pop-Up Restaurants	Above $61	5.0	119	Closed	Closed	Closed	Closed	7:00 pm - 9:30 pm	Closed	Closed	No	Free	Yes	Street	NULL	Yes	No	No	No
764	Garaje	475 3rd St,San Francisco,CA,94107	Mexican,Burgers,Dive Bars	$11-30	4.5	1558	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	Closed	No	No	No	Street	NULL	No	No	No	Yes
765	Media Noche	3465 19th St,San Francisco,CA,94110	Cuban,Sandwiches	$11-30	4.0	373	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 9:00 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
766	Yuanbao Jiaozi	2110 Irving St,San Francisco,CA,94122	Chinese,Noodles	Under $10	4.0	317	11:00 am - 3:30 pm,5:00 pm - 10:00 pm	11:00 am - 3:30 pm,5:00 pm - 10:00 pm	11:00 am - 3:30 pm,5:00 pm - 10:00 pm	11:00 am - 3:30 pm,5:00 pm - 10:00 pm	11:00 am - 3:30 pm,5:00 pm - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	No	Free	No	Street	NULL	Yes	No	NULL	Yes
767	Sunset Reservoir Brewing Company	1735 Noriega St,San Francisco,CA,94122	American (Traditional),Breweries	$11-30	3.5	622	12:00 pm - 9:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 9:00 pm	NULL	No	Yes	Street	NULL	Yes	No	No	Yes
768	Olive Garden Italian Restaurant	3251 20th Ave,San Francisco,CA,94132	Italian,Salad,Soup	$11-30	3.0	1149	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	Free	Yes	Garage, Street, Private Lot	NULL	Yes	Yes	No	Yes
769	Brazen Head	3166 Buchanan St,San Francisco,CA,94123	Steakhouses,Bars,Gastropubs	$11-30	4.0	741	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	4:00 pm - 2:00 am	No	Free	No	Street	NULL	Yes	No	NULL	Yes
770	Boba Guys	1522 Fillmore St,San Francisco,CA,94115	Cafes,Bubble Tea,Tea Rooms	Under $10	4.0	641	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 6:00 pm	No	Free	No	Street	NULL	Yes	Yes	Yes	Yes
771	a Mano	450 Hayes St,San Francisco,CA,94102	Italian,Cocktail Bars,Pizza	$11-30	4.0	892	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 11:00 pm	11:30 am - 3:00 pm,5:00 pm - 11:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	No	No	No	Street	NULL	Yes	No	No	No
772	Wei Guo House	3751 Geary Blvd,San Francisco,CA,94118	Dim Sum,Cantonese,Chicken Wings	$11-30	4.0	21	Closed	11:00 am - 3:00 pm,5:00 pm - 9:00 pm	11:00 am - 3:00 pm,5:00 pm - 9:00 pm	11:00 am - 3:00 pm,5:00 pm - 9:00 pm	11:00 am - 3:00 pm,5:00 pm - 9:30 pm	11:00 am - 3:00 pm,5:00 pm - 9:30 pm	11:00 am - 3:00 pm,5:00 pm - 9:00 pm	No	Free	Yes	Street	Yes	Yes	No	No	Yes
773	The Fly Trap	606 Folsom St,San Francisco,CA,94107	Bars,American (New)	$31-60	4.0	972	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	Closed	Closed	No	Free	Yes	Street, Validated	NULL	Yes	No	NULL	Yes
774	Bouche	603 Bush St,San Francisco,CA,94108	French	$31-60	4.5	772	5:30 am - 12:00 pm	5:30 pm - 12:00 am	5:30 pm - 12:00 am	5:30 pm - 12:00 am	5:30 pm - 12:00 am	5:30 pm - 12:00 am	5:30 pm - 12:00 am	No	No	Yes	Garage, Street	NULL	Yes	No	No	Yes
775	Osha Thai	4 Embarcadero Ctr,San Francisco,CA,94111	Thai,Asian Fusion	$11-30	3.5	2383	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	No	Free	Yes	Street	Yes	Yes	No	NULL	Yes
776	Gott's Roadside	1 Ferry Building,Ste 6,San Francisco,CA,94111	Ice Cream & Frozen Yogurt,Salad,Burgers	$11-30	3.5	2684	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	Yes	No	No	Street, Private Lot	Yes	Yes	Yes	NULL	Yes
777	RM 212	690 Sacramento St,San Francisco,CA,94111	Tapas Bars,Lounges,Asian Fusion	$11-30	4.5	406	11:30 am - 1:45 pm,5:30 pm - 10:00 pm	11:30 am - 1:45 pm,5:30 pm - 10:00 pm	11:30 am - 1:45 pm,5:30 pm - 10:00 pm	11:30 am - 1:45 pm,5:30 pm - 10:00 pm	11:30 am - 1:45 pm,5:30 pm - 10:00 pm	5:30 pm - 9:00 pm	Closed	No	No	Yes	Street	Yes	Yes	No	NULL	Yes
778	Rooster & Rice	4039 18th St,San Francisco,CA,94114	Chicken Shop,Thai	$11-30	4.0	28	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 7:00 pm	Yes	NULL	No	Street	NULL	Yes	Yes	NULL	Yes
779	Thirsty Bear Brewing Company	661 Howard St,San Francisco,CA,94105	Venues & Event Spaces,Brewpubs,American (New)	$11-30	3.5	1917	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 10:00 pm	No	Free	Yes	Garage, Street	NULL	Yes	No	Yes	Yes
780	Uma Casa	1550 Church St,San Francisco,CA,94131	Portuguese,Cocktail Bars	$31-60	4.0	283	Closed	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 9:30 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
781	The Rotunda	150 Stockton St,San Francisco,CA,94108	American (New),Tea Rooms	$31-60	4.0	1680	11:00 am - 4:00 pm	11:00 am - 4:00 pm	11:00 am - 4:00 pm	11:00 am - 5:00 pm	11:00 am - 5:00 pm	11:00 am - 5:00 pm	11:00 am - 4:00 pm	No	Free	Yes	Garage, Street, Private Lot	NULL	Yes	No	No	No
782	Sorrel	3228 Sacramento St,San Francisco,CA,94115	American (New),Italian	$31-60	4.0	219	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	No	No
783	Son's Addition	2990 24th St,San Francisco,CA,94110	American (New)	$11-30	4.0	240	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	10:30 am - 2:30 pm,5:00 pm - 11:00 pm	10:30 am - 2:30 pm,5:00 pm - 10:00 pm	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
784	Shabu House	1050 Valencia St,San Francisco,CA,94110	Japanese,Soup	$11-30	4.0	78	Closed	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 9:30 pm	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL
785	Quince	470 Pacific Ave,San Francisco,CA,94133	French,Italian	Above $61	4.0	1491	Closed	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:30 pm - 9:00 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	Closed	No	No	Yes	Valet, Street	NULL	Yes	No	No	No
786	Mersea	699 Ave Of The Palms,San Francisco,CA,94130	American (Traditional),Bars	$11-30	4.5	595	11:00 am - 4:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	9:00 am - 4:30 pm	9:00 am - 9:00 pm	No	Free	No	Street, Private Lot	NULL	Yes	No	No	No
787	Barbacco	220 California St,San Francisco,CA,94111	Italian,Bars	$11-30	4.0	1623	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	5:00 pm - 10:00 pm	Closed	Yes	No	Yes	Valet	Yes	Yes	No	NULL	Yes
788	Lokma	1801 Clement St,San Francisco,CA,94121	Mediterranean,Breakfast & Brunch	$11-30	4.5	271	Closed	10:00 am - 2:00 pm,5:00 pm - 9:00 pm	10:00 am - 2:00 pm,5:00 pm - 9:00 pm	10:00 am - 2:00 pm,5:00 pm - 9:00 pm	9:00 am - 2:00 pm,5:00 pm - 9:30 pm	9:00 am - 2:00 pm,5:00 pm - 9:30 pm	9:00 am - 2:00 pm,5:00 pm - 8:30 pm	Yes	Free	Yes	Street	NULL	Yes	No	No	Yes
789	Super Duper Burgers	783 Mission St,San Francisco,CA,94103	Burgers,American (Traditional)	$11-30	4.0	1345	8:00 am - 10:30 pm	8:00 am - 10:30 pm	8:00 am - 10:30 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	10:30 am - 11:00 pm	10:30 am - 10:00 pm	No	No	No	Street	NULL	Yes	No	No	Yes
790	Bursa	60 West Portal Ave,San Francisco,CA,94127	Middle Eastern,Turkish,Mediterranean	$11-30	4.0	796	11:00 am - 9:00 pm	Closed	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	No	No	No	Street	NULL	Yes	No	NULL	Yes
791	Konomama	4601 Geary Blvd,San Francisco,CA,94118	Japanese,Beer Bar	$11-30	4.5	48	Closed	11:30 am - 3:00 pm,5:00 pm - 9:00 pm	11:30 am - 3:00 pm,5:00 pm - 9:00 pm	11:30 am - 3:00 pm,5:00 pm - 9:00 pm	11:30 am - 3:00 pm,5:00 pm - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 5:00 pm	NULL	NULL	No	NULL	NULL	Yes	Yes	NULL	NULL
792	Terzo	3011 Steiner St,San Francisco,CA,94123	Mediterranean,Tapas/Small Plates	$31-60	4.0	629	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 9:30 pm	No	Free	Yes	Garage, Street	NULL	Yes	No	NULL	Yes
793	Marrakech Magic Theater	419 O'Farrell St,San Francisco,CA,94102	Comedy Clubs,Magicians,Dinner Theater	$11-30	5.0	976	Closed	Closed	Closed	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 8:00 pm	No	No	Yes	Garage, Street	NULL	Yes	Yes	NULL	No
794	Tasty Pot	815 Clement St,San Francisco,CA,94118	Taiwanese,Bubble Tea,Hot Pot	$11-30	4.0	458	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 10:00 pm	No	Free	No	Street	NULL	Yes	No	No	Yes
795	25 Lusk	25 Lusk St,San Francisco,CA,94107	American (New),Cocktail Bars,Venues & Event Spaces	$31-60	4.0	1431	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 10:00 pm	11:30 am - 10:30 pm	11:30 am - 10:30 pm	11:30 am - 8:00 pm	No	Free	Yes	Garage, Street, Private Lot	NULL	Yes	No	No	No
796	Pera	1457 18th St,San Francisco,CA,94107	Turkish,Mediterranean,Breakfast & Brunch	$11-30	4.0	585	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	10:00 am - 2:30 pm,5:00 pm - 10:00 pm	10:00 am - 2:30 pm,5:00 pm - 9:30 pm	No	Free	Yes	Street	Yes	Yes	No	No	Yes
797	Jasmine Garden	708 14th St,San Francisco,CA,94114	Vietnamese	$11-30	4.0	667	12:00 pm - 4:00 pm,5:00 pm - 9:30 pm	Closed	12:00 pm - 4:00 pm,5:00 pm - 9:30 pm	12:00 pm - 4:00 pm,5:00 pm - 9:30 pm	12:00 pm - 4:00 pm,5:00 pm - 10:00 pm	12:00 pm - 4:00 pm,5:00 pm - 10:00 pm	12:00 pm - 4:00 pm,5:00 pm - 10:00 pm	No	Free	Yes	Street	Yes	Yes	No	NULL	Yes
798	Nightbird	330 Gough St,San Francisco,CA,94102	American (New),Gluten-Free,Vegetarian	Above $61	4.0	157	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	Free	Yes	Street	NULL	Yes	No	NULL	No
799	Voodoo Love	1599 Howard St,San Francisco,CA,94103	Cajun/Creole	$11-30	4.0	59	11:00 am - 3:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	10:30 am - 3:00 pm	No	Free	Yes	Garage, Street	Yes	Yes	Yes	Yes	Yes
800	Nabe	2151 Lombard St,San Francisco,CA,94123	Hot Pot,Japanese	$11-30	4.5	221	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:00 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
801	Boulevard	1 Mission St,San Francisco,CA,94105	American (New)	$31-60	4.0	2663	11:30 am - 2:00 pm,5:30 pm - 9:30 pm	11:30 am - 2:00 pm,5:30 pm - 9:30 pm	11:30 am - 2:00 pm,5:30 pm - 9:30 pm	11:30 am - 2:00 pm,5:30 pm - 10:00 pm	11:30 am - 2:00 pm,5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 9:30 pm	No	No	Yes	Garage, Street	NULL	Yes	No	NULL	No
802	Rintaro	82 14th St,San Francisco,CA,94103	Izakaya	$31-60	4.0	621	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	11:30 am - 1:45 pm,5:00 pm - 11:00 pm	11:30 am - 1:45 pm,5:00 pm - 10:30 pm	11:30 am - 1:45 pm,5:00 pm - 10:00 pm	No	No	Yes	Street	NULL	Yes	No	No	No
803	Gentilly	4826 Mission St,San Francisco,CA,94112	Southern,American (New),Cajun/Creole	$11-30	4.5	61	Closed	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	NULL	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL
804	Abrazo	2000 Hyde St,San Francisco,CA,94109			4.5	63	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 9:00 pm	Yes	Free	Yes	Street	NULL	Yes	NULL	NULL	Yes
805	Maven	598 Haight St,San Francisco,CA,94117	American (New),Gastropubs,Cocktail Bars	$11-30	4.0	689	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:30 pm	5:30 pm - 11:30 pm	5:30 pm - 11:30 pm	5:30 pm - 11:30 pm	5:30 pm - 10:00 pm	No	Free	Yes	Street	NULL	Yes	No	No	Yes
806	SF Chickenbox	1123 Folsom St,San Francisco,CA,94103			4.0	45	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 11:00 pm	4:00 pm - 11:00 pm	Closed	NULL	No	No	NULL	NULL	Yes	NULL	NULL	Yes
807	Lers Ros Thai	307 Hayes St,San Francisco,CA,94102	Thai	$11-30	3.5	803	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 3:00 pm,5:00 pm - 11:00 pm	11:00 am - 3:00 pm,5:00 pm - 11:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	Yes	No	Yes	Street	NULL	Yes	No	NULL	Yes
808	Bon, Nene	2850 21st St,San Francisco,CA,94110	Japanese,Tapas/Small Plates,Asian Fusion	$11-30	4.0	217	Closed	11:30 am - 2:00 pm,6:00 pm - 9:30 pm	11:30 am - 2:00 pm,6:00 pm - 9:30 pm	11:30 am - 2:00 pm,6:00 pm - 9:30 pm	11:30 am - 2:00 pm,6:00 pm - 9:30 pm	10:30 am - 2:30 pm,6:00 pm - 9:30 pm	10:30 am - 2:30 pm	No	No	No	Street	NULL	Yes	Yes	NULL	Yes
809	Fresca	3945 24th St,San Francisco,CA,94114	Peruvian	$11-30	3.5	940	11:30 am - 9:00 pm	Closed	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
