	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
84	Mau	665 Valencia St,San Francisco,CA,94110	Vietnamese	$11-30	4.0	902	Closed	12:00 pm - 3:00 pm,5:30 pm - 10:00 pm	12:00 pm - 3:00 pm,5:30 pm - 10:00 pm	12:00 pm - 3:00 pm,5:30 pm - 10:00 pm	12:00 pm - 3:00 pm,5:30 pm - 10:00 pm	12:00 pm - 3:00 pm,5:30 pm - 10:00 pm	12:00 pm - 3:00 pm,5:30 pm - 9:30 pm	Yes	No	No	Street	NULL	Yes	No	No	Yes
85	Rooftop 25	25 Lusk St,San Francisco,CA,94107	Cocktail Bars,Tacos,American (Traditional)	$11-30	4.0	162	11:30 am - 8:00 pm	11:30 am - 8:00 pm	11:30 am - 8:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 8:00 pm	No	Free	Yes	Garage, Street, Private Lot	NULL	Yes	No	No	Yes
86	MAC'D	2127 Polk St,San Francisco,CA,94109	Comfort Food	$11-30	4.0	231	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 9:00 pm	Yes	No	No	Street	Yes	Yes	NULL	NULL	Yes
87	Willkommen	2198 Market St,San Francisco,CA,94114	German,Beer Gardens	$11-30	4.5	85	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 11:00 pm	No	Free	No	Street	Yes	Yes	Yes	Yes	Yes
88	Bellota	888 Brannan St,San Francisco,CA,94103	Spanish,Seafood,Tapas Bars	$31-60	4.0	636	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	4:00 pm - 10:00 pm	Closed	No	Free	Yes	Street	NULL	Yes	No	No	No
89	Lupa Trattoria	4109 24th St,San Francisco,CA,94114	Italian	$11-30	4.0	633	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:00 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
90	Leopold's	2400 Polk St,San Francisco,CA,94109	German,Austrian,Bars	$11-30	4.5	1049	5:30 pm - 9:30 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	12:00 pm - 2:30 pm,5:30 pm - 10:00 pm	12:00 pm - 2:30 pm,5:30 pm - 9:30 pm	No	No	Yes	Street	NULL	Yes	NULL	NULL	Yes
91	Cockscomb	564 4th St,San Francisco,CA,94107	Bars,American (New)	$31-60	4.0	1265	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	Closed	No	No	Yes	Street	NULL	Yes	No	No	No
92	Burma Love	211 Valencia St,San Francisco,CA,94103	Burmese,Bars,Seafood	$11-30	4.0	1189	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	Yes	No	No	Street	Yes	Yes	No	No	Yes
93	AsiaSF	201 9th St,San Francisco,CA,94103	Asian Fusion,Dance Clubs	$31-60	4.0	1834	Closed	Closed	7:00 pm - 11:00 pm	7:00 pm - 11:00 pm	7:00 pm - 2:00 am	5:00 pm - 2:00 am	7:00 pm - 11:00 pm	No	Free	Yes	Street	NULL	Yes	No	No	Yes
